Origin URL,Name,Average_score,Number_of_reviewers,Variety,Aroma,Taste,Finish,Maturation,Volume,Action_price,Contains_colouring,Product description,Distillery,Distillery_status,Distillery_founding_year,Taste_list,Taste_sentence,Alcohol_content_percent,Country,Region
https://www.whisky.de/shop/en/product/Jura-Red-Wine-Cask-Finish.html,Jura Red Wine Cask Finish,3.8,70.0,single malt,"Sultanas, creamy caramel and black forest cake. A hint of heather honey follows.",Red wine with a hint of raspberries and strawberries.,Long with vanilla and cinnamon.,Ex-bourbon casks and finish in red wine casks,0.7,29.9,True,"This Jura was first matured in former bourbon casks and then in red wine casks for the Cask Edition.
Distributor
Stillman Spirits SL Paseo Castellana 259D 28046 Madrid/ES
Designation
Whisky
Country of origin
Scotland
Colouring
Caramel color", Isle of Jura,Open,1810,['Fruit\n Sweet\n Sherry'],"Fruit
 Sweet
 Sherry",40.0,Scotland,Islands
https://www.whisky.de/shop/en/product/Aberlour-48-Non-Chill-Filtered-12-Years.html?&searchorigin=2&preisMaxOverride=385,Aberlour 48% Non Chill-Filtered 12 Years,4.3,309.0,single malt,"Full and fruity, distantly reminiscent of strawberry jam.","Strong sherry notes and ripe fruit followed by chocolate, caramel and cinnamon.","Long, sweet and spicy.",,0.7,21.9,True,"The Aberlour Non Chill-Filtered differs from the other bottlings from the Aberlour distillery, as the name reveals, by the lack of chill-filtering. It is bottled with a higher alcohol content than the variant of the same age and matured in sherry and bourbon casks.
Distributor
Pernod Ricard Deutschland GmbH Habsburgerring 2 50674 Köln /DE
Designation
Whisky
Country of origin
Scotland
Colouring
Caramel color", Aberlour,Open,1826,['Sherry\n Fruit\n Sweet'],"Sherry
 Fruit
 Sweet",48.0,Scotland,Speyside
https://www.whisky.de/shop/en/product/Jura-Red-Wine-Cask-Finish.html,Jura Red Wine Cask Finish,3.8,70.0,single malt,"Sultanas, creamy caramel and black forest cake. A hint of heather honey follows.",Red wine with a hint of raspberries and strawberries.,Long with vanilla and cinnamon.,Ex-bourbon casks and finish in red wine casks,0.7,29.9,True,"This Jura was first matured in former bourbon casks and then in red wine casks for the Cask Edition.
Distributor
Stillman Spirits SL Paseo Castellana 259D 28046 Madrid/ES
Designation
Whisky
Country of origin
Scotland
Colouring
Caramel color", Isle of Jura,Open,1810,['Fruit\n Sweet\n Sherry'],"Fruit
 Sweet
 Sherry",40.0,Scotland,Islands
https://www.whisky.de/shop/en/product/Lagavulin-16-Years.html?&searchorigin=2&preisMaxOverride=385,Lagavulin 16 Years,4.5,1607.0,single malt,Intense peat smoke with notes of iodine and seaweed and rich deep sweetness.,"Dry peat smoke fills the palate with a gentle and powerful sweetness, then gives way to notes of sea and salt with hints of wood.","Long, elegant, smoky finish with lots of salt and seaweed.",Bourbon and sherry casks,0.7,49.9,True,"Lagavulin's classic is kilned with a high smoke content in the malt. The stills of the distillery are pear-shaped so that all flavours can be passed on to the condensers during distillation. The Single Malt is then matured in Bourbon and Sherry casks until perfection.
Best whiskies from 25 years of Whisky.de - Scotland
Distributor
DBBV Molenwerf 12 1014 BG /NL
Designation
Whisky
Country of origin
Scotland
Colouring
Caramel color", Lagavulin,Open,1816,['Peat Smoke\n Seaweed\n Maritime Notes\n Sherry'],"Peat Smoke
 Seaweed
 Maritime Notes
 Sherry",43.0,Scotland,Islay
https://www.whisky.de/shop/en/product/Glenfarclas-25-Years.html?&searchorigin=2&preisMaxOverride=385,Glenfarclas 25 Years,4.6,582.0,single malt,"Jam, honey and a little coffee melt into sherry and nuts.",Sherry and oak have the upper hand. Wonderfully full-bodied.,Intense and long. Sherry and some smoke.,Oloroso sherry casks,0.7,198.0,False,"This Glenfarclas matures for a quarter of a century in Oloroso sherry casks to become an extremely complex Single Malt. The flavours of the Taste are so closely interwoven that it is initially impossible to separate them.
Distributor
Hanseatische Weinhandels GmbH &Co. KG Lukas-Welser-Str. 8 28309 Bremen /DE
Designation
Whisky
Country of origin
Scotland", Glenfarclas,Open,1836,['Sherry\n Oak\n Sweet'],"Sherry
 Oak
 Sweet",43.0,Scotland,Speyside
https://www.whisky.de/shop/en/product/Suntory-Hibiki-Harmony.html?&searchorigin=2&preisMaxOverride=385,Suntory Hibiki Harmony,4.4,366.0,blended,"Floral notes with lychee, a hint of rosemary and sandalwood.","Sweet and fruity with candied orange peel, white chocolate and honey.",Persistent and smooth with notes of Japanese oak.,,0.7,89.9,True,"Suntory Hibiki Harmony is a Japanese whisky with a special bottle design: the 24 indentations each represent an hour of the day and each month of the Japanese lunar calendar. Handmade Echizen paper is used for the bottle label, which has been printed four times. Japanese Harmony was created from the best malt and Grain whiskies from the Suntory distilleries.
Distributor
Beam Suntory Distribution S.L. C/Mahonia N.2 28042 Madrid /ES
Designation
Whisky
Country of origin
Japan
Colouring
Caramel color", Suntory,Open,1923,['Sweet\n Fruit\n Zitrus'],"Sweet
 Fruit
 Zitrus",43.0,Japan,
https://www.whisky.de/shop/en/product/Kilchoman-Sanaig.html?&searchorigin=2&preisMaxOverride=385,Kilchoman Sanaig,4.4,455.0,single malt,"Intense with heather, sultanas, pears and orange peel. Stone fruits in combination with mixed spices and rich peat smoke.","Ripe plums, red cherries and a hint of citrus, followed by intense peat smoke, caramel sweets, oak and dark chocolate.","Mouth-filling and fruity with caramel, cinnamon and clove. Plus brown sugar, spices, peat smoke and a lingering sweetness.",Ex-Bourbon and Oloroso Sherry casks,0.7,39.9,False,"Kilchoman Sanaig is named after the bay of Sanaigmore on the island of Islay. Originally, the first, limited bottling of Sanaig consisted of 30% bourbon casks and 70% Oloroso sherry casks. This made the Islay whisky a rich and fruity flavour experience, with a beautiful balance between smoky and subtle caramel notes.
Distributor
Hanseatische Weinhandelsgesellschaft mbH & Co. KG Lukas-Welser-Straße 8 28309 Bremen/DE
Designation
Whisky
Country of origin
Scotland", Kilchoman,Open,2005,['Peat Smoke\n Sherry\n Sweet'],"Peat Smoke
 Sherry
 Sweet",46.0,Scotland,Islay
https://www.whisky.de/shop/en/product/Highland-Park-Viking-Pride-43-18-Years.html?&searchorigin=2&preisMaxOverride=385,Highland Park - Viking Pride 43% 18 Years,4.5,394.0,single malt,"Rich, sherry note, hints of oak, aromatic smoke.","Rich, full-bodied Taste, honey and peat smoky.","Soft, complex, long.",,0.7,148.5,False,"The Highland Park Viking Pride is surprisingly smoky with hints of sherry and oak. The full-bodied taste leads into a complex, long finish.
This Single Malt often wins medals in blind tastings, and rightly so.
Best whiskies from 25 years of Whisky.de - Scotland
Distributor
Beam Suntory Distribution S.L. C/Mahonia N.2 28042 Madrid /ES
Designation
Whisky
Country of origin
Scotland", Highland Park,Open,1825,['Peat Smoke\n Sweet\n Sherry'],"Peat Smoke
 Sweet
 Sherry",43.0,Scotland,Islands
https://www.whisky.de/shop/en/product/Ardbeg-Corryvreckan.html?&searchorigin=2&preisMaxOverride=385,Ardbeg Corryvreckan,4.5,437.0,single malt,"Intense smoke, tar and dark chocolate combine with currants, brown sugar and earthy notes.","Powerful with pepper, seaweed and espresso. Dark fruits and star anise follow.",Long and deep with smoke and pepper.,,0.7,86.9,False,"Ardbeg Corryvreckan was named after Europe's largest ocean whirlpool. It is located near the Hebridean islands of Islay and Jura on the west coast of Scotland. Not chill-filtered and at 57.1% vol, Corryvreckan is the epitome of Islay's untamed character.
Distributor
MHCS 9 avenue de Champagne 51200 Epernay /FR
Designation
Whisky
Country of origin
Scotland", Ardbeg,Open,1815,['Peat Smoke\n Spices\n Seaweed'],"Peat Smoke
 Spices
 Seaweed",57.1,Scotland,Islay
https://www.whisky.de/shop/en/product/Laphroaig-Sherry-Oak-10-Years.html?&searchorigin=2&preisMaxOverride=385,Laphroaig Sherry Oak 10 Years,4.4,464.0,single malt,"Sweet-smoky and medicinal with honey, aromatic cloves and grilled smoked bacon. Leather, iodine, pine and tar in the background.","Sweet of wax and furniture polish, followed by caramel syrup. Maple syrup, dark chocolate, pencil shavings, pine needles and cedar.",Long and sweet with spicy honey and lingering medicinal notes.,"Refill Oloroso sherry casks and bourbon casks, finish in Oloroso sherry casks.",0.7,61.9,False,"Laphroaig Sherry Oak matures in both Bourbon and sherry casks. The malt is then given an additional Oloroso sherry finish in European oak casks. This emphasises the sweet notes of the medicinal, smoky Islay whisky.
Distributor
Beam Suntory Distribution S.L. C/Mahonia N.2 28042 Madrid /ES
Designation
Whisky
Country of origin
Scotland", Laphroaig,Open,1815,['Peat Smoke\n Sherry\n Medicinal Smoke'],"Peat Smoke
 Sherry
 Medicinal Smoke",48.0,Scotland,Islay
https://www.whisky.de/shop/en/product/Bowmore-18-Years.html?&searchorigin=2&preisMaxOverride=385,Bowmore 18 Years,4.4,503.0,single malt,Creamy caramel aroma with fruits and peat smoke.,"Very complex, fruits and chocolate completed by a light smokiness.",Long lasting and rounded.,Oloroso sherry casks,0.7,128.5,True,"The 18-year-old Bowmore Single Malt Whisky is typical of the Islay distillery: well-balanced, a clear sherry cask influence and complex due to its advanced age. In contrast to Bowmore's many limited special editions, this whisky is part of the standard range.
Distributor
Beam Suntory Distribution S.L. C/Mahonia N.2 28042 Madrid /ES
Designation
Whisky
Country of origin
Scotland
Colouring
Caramel color", Bowmore,Open,1779,['Peat Smoke\n Sweet\n Sherry'],"Peat Smoke
 Sweet
 Sherry",43.0,Scotland,Islay
https://www.whisky.de/shop/en/product/Aberlour-48-Non-Chill-Filtered-12-Years.html?&searchorigin=2&preisMaxOverride=385,Aberlour 48% Non Chill-Filtered 12 Years,4.3,309.0,single malt,"Full and fruity, distantly reminiscent of strawberry jam.","Strong sherry notes and ripe fruit followed by chocolate, caramel and cinnamon.","Long, sweet and spicy.",,0.7,21.9,True,"The Aberlour Non Chill-Filtered differs from the other bottlings from the Aberlour distillery, as the name reveals, by the lack of chill-filtering. It is bottled with a higher alcohol content than the variant of the same age and matured in sherry and bourbon casks.
Distributor
Pernod Ricard Deutschland GmbH Habsburgerring 2 50674 Köln /DE
Designation
Whisky
Country of origin
Scotland
Colouring
Caramel color", Aberlour,Open,1826,['Sherry\n Fruit\n Sweet'],"Sherry
 Fruit
 Sweet",48.0,Scotland,Speyside
https://www.whisky.de/shop/en/product/Edradour-Caledonia-12Y-2024.html?&searchorigin=2&preisMaxOverride=385,Edradour Caledonia 12 Years 2024,4.3,485.0,single malt,"Pleasant, fruity and slightly spicy with vanilla and sherry. Lovely and complex.",Sweet and strong with spices and a touch of oak.,More oak.,Post-maturation in Oloroso sherry casks,0.7,72.9,False,"Edradour Caledonia shows particularly strong sherry notes. It had enough time in its 42-month finishing phase to draw intense flavours from the exclusive oloroso sherry casks. The Caledonia was named after the song of the same name by the well-known Scottish musician Dougie MacLean. Andrew Symington, the owner of Edradour, and Dougie MacLean designed this whisky together.
Distributor
Kirsch Whisky Service GmbH Mackenstedter Str. 7 28816 Stuhr/DE
Designation
Whisky
Country of origin
Scotland", Edradour,Open,1837,['Sherry\n Sweet\n Fruit'],"Sherry
 Sweet
 Fruit",46.0,Scotland,Highlands
